Page_ID,Page_name,Disclaimer,Amount_spent(INR),Number_of_ads_in_Library
2.01901E+15,Rambabu Army,Rambabu Army,24756,82
2.84079E+14,Dhenkanal ku Darakar Krushna Chandra Patra,Utkal2day,24734,39
6.89075E+14,Arun Govindrao Gire,Arun Govindrao Gire,24730,14
1.99153E+14,Pradhaan India,Pradhaan India,24713,70
9.12097E+14,Vijay Singh,Vijay Singh,24636,103
2.99529E+14,Er. Taba Tedir,Suryanetram,24629,38
1.13659E+14,Telugu Desam Party: Pamarru,Telugu Desam Party,24625,15
3.03257E+14,Patialedapehredar,Digital Arena,24622,10
3.00593E+14,Bhadrak Maage Sitansu Sekhar Mohapatra,odiatazakhabar,24599,64
2.83236E+14,Barachana Maguchi Amar Kumar Nayak,odishakhobor,24590,62
1.66411E+14,We Support Suryabanshi Suraj,Smarajit Mohanty,24576,9
2.63299E+15,Gadde Ramamohan,SME METRIX,24570,73
2.36074E+15,Elect India,Elect India,24543,57
2.13075E+14,Teamushaakka,ssdigipromotions,24529,3
2.21563E+14,Thugs of Andhra,Thugs of Andhra,24514,19
5.56461E+14,Shaik Mohammed Iqbal,SHAIK Mohammed IQBAL - MLC,24511,29
2.95334E+14,बोले कुरुक्षेत्र,NBI Digital,24499,3
3.05038E+14,Kendrapara Maguchi Geetanjali Sethi,odiatazakhabar,24498,67
2.3747E+14,Tarachand Meena,Manu Jain,24497,6
1.05205E+14,Chandan Chauhan,Chandan Chauhan,24486,89
1.01773E+14,Dr Abhilasha Verma,Dr Abhilasha Verma,24477,75
1.44895E+14,Bhandara Gondia Loksabha,INSPIRE,24461,15
1.00897E+14,The Summer News Haryana,The Summer News Haryana,24455,41
1.14565E+14,Abhishek Singh,Abhishek Singh,24448,38
1.69491E+15,CPI ML - Liberation Jharkhand,CPI ML - Liberation Jharkhand,24405,13
1.04391E+14,Sunil Musepur Yadav,Sunil Musepur Yadav,24378,33
1.50728E+14,Mobius Foundation,Mobius Foundation,24346,249
2.59343E+14,Bharat Bhushan Batra,Bharat Bhushan Batra,24346,29
1.03492E+14,Lok Janshakti Party,Lok Janshakti Party,24316,16
2.54622E+14,Dr. Vinolin Nivetha,Adsense Technologies Private Limited,24267,8
3.01083E+14,Aalok Kushwaha,Alok Kushwaha,24245,120
3.09468E+14,Gotam Tetwal,Gotam Tetwal,24227,46
2.72041E+14,Telkoi Maguchi Fakir Mohan Naik,odishapragati,24209,38
2.35235E+14,જય આદિવાસી જય ગુજરાત,જય આદિવાસી જય ગુજરાત,24200,18
3.08693E+14,Salipur Maguchi Arindam Roy,odiatazakhabar,24189,62
2.19514E+14,Dr.SG Suryah,SG Suryah,24181,115
6.49264E+14,Rahul Rana,Rahul Rana,24180,113
1.30366E+14,Shantanu Thakur,Shantanu Thakur,24158,41
